surveyid;qidx;question;finished;audio-counter;audio-file;reliable;kompetent;credible;sympatic;dialect;pleasant;natural;liked;aigen;easyunterrstand;uncomplicated;informed;attention;reliable-counter;kompetent-counter;credible-counter;sympatic-counter;dialect-counter;pleasant-counter;natural-counter;liked-counter;aigen-counter;easyunterrstand-counter;uncomplicated-counter;informed-counter;attention-counter;surveyid;created;questions;complete;age;dv;dr;email;Male;Female;Vorarlberg;Swiss;StandardGerman;age_r;participant_region;participant_country;speaker_region;reliable_n;kompetent_N;credible_n;sympatic_n;dialect_n;pleasant_n;natural_n;liked_n;aigen_n;easyunterrstand_n;uncomplicated_n;informed_n;attention_n
4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;2;Q01;2026-02-19 12:54:45;1;q01_vorarlbb_f_v2.mp3;reliable-6;kompetent-5;credible-6;sympatic-6;dialect-6;pleasant-7;natural-6;liked-6;aigen-2;easyunterrstand-7;uncomplicated-7;informed-5;attention-7;1;1;1;1;1;1;1;1;1;1;1;2;1;4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;2026-02-19 12:51:54;"[""N01"",""Q01"",""N04""]";1;age-4;dv-6;bw;;;1;1;;;61 - 80;Baden-W�rttemberg;DE;Vorarlberg;5;4;5;5;5;6;5;5;1;6;6;4;6
4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;3;N04;2026-02-19 12:56:07;1;n04_sttall_m_v2.mp3;reliable-7;kompetent-7;credible-7;sympatic-7;dialect-6;pleasant-7;natural-7;liked-7;aigen-2;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;3;2;2;1;1;1;2;1;2;1;1;1;2;4AuUTDfDTqEm2dEBm62ayvwRso2XaDN4VOANQ_ZJ;2026-02-19 12:51:54;"[""N01"",""Q01"",""N04""]";1;age-4;dv-6;bw;;1;;;1;;61 - 80;Baden-W�rttemberg;DE;Schweiz;6;6;6;6;5;6;6;6;1;6;6;6;6
4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;1;Q01;2026-02-26 18:45:02;1;q01_sttall_m.mp3;reliable-5;kompetent-5;credible-6;sympatic-4;dialect-4;pleasant-2;natural-2;liked-3;aigen-7;easyunterrstand-6;uncomplicated-6;informed-5;attention-3;2;2;3;2;2;2;1;1;1;2;2;1;1;4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;2026-02-26 18:42:42;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;bw;;1;;;1;;41 - 60;Baden-W�rttemberg;DE;Schweiz;4;4;5;3;3;1;1;2;6;5;5;4;2
4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;2;N01;2026-02-26 18:46:03;1;n01_sttall_f.mp3;reliable-1;kompetent-1;credible-1;sympatic-5;dialect-1;pleasant-3;natural-1;liked-1;aigen-6;easyunterrstand-5;uncomplicated-4;informed-1;attention-2;1;1;1;1;1;1;1;1;1;1;0;1;1;4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;2026-02-26 18:42:42;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;bw;;;1;;1;;41 - 60;Baden-W�rttemberg;DE;Schweiz;0;0;0;4;0;2;0;0;5;4;3;0;1
4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;3;N04;2026-02-26 18:47:19;1;n04_sttall_m_v2.mp3;reliable-4;kompetent-5;credible-5;sympatic-3;dialect-3;pleasant-5;natural-3;liked-2;aigen-2;easyunterrstand-5;uncomplicated-5;informed-5;attention-2;2;2;2;1;1;1;1;2;1;1;1;1;1;4LUioWEdjFWCTg8E5nft2MvycxIoaMz6bslKJU4J;2026-02-26 18:42:42;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;bw;;1;;;1;;41 - 60;Baden-W�rttemberg;DE;Schweiz;3;4;4;2;2;4;2;1;1;4;4;4;1
57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;1;N01;2026-02-26 00:19:26;1;n01_vorarlbb_f_v2.mp3;reliable-4;kompetent-4;credible-4;sympatic-4;dialect-3;pleasant-3;natural-5;liked-4;aigen-4;easyunterrstand-7;uncomplicated-6;informed-5;attention-4;0;0;0;0;1;1;1;0;0;1;1;1;0;57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;2026-02-26 00:17:50;"[""N01"",""Q01"",""N04""]";1;age-4;dv-7;vbg;;;1;1;;;61 - 80;Vorarlberg;AT;Vorarlberg;3;3;3;3;2;2;4;3;3;6;5;4;3
57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;2;Q01;2026-02-26 00:20:25;1;q01_sttall_f.mp3;reliable-4;kompetent-4;credible-4;sympatic-4;dialect-4;pleasant-4;natural-4;liked-4;aigen-2;easyunterrstand-6;uncomplicated-6;informed-4;attention-4;0;0;0;0;0;0;0;0;1;1;1;0;0;57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;2026-02-26 00:17:50;"[""N01"",""Q01"",""N04""]";1;age-4;dv-7;vbg;;;1;;1;;61 - 80;Vorarlberg;AT;Schweiz;3;3;3;3;3;3;3;3;1;5;5;3;3
57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;3;N04;2026-02-26 00:21:31;1;n04_vorarlbb_f_v3.mp3;reliable-4;kompetent-4;credible-3;sympatic-4;dialect-3;pleasant-5;natural-3;liked-4;aigen-6;easyunterrstand-6;uncomplicated-5;informed-4;attention-4;0;0;1;0;1;1;1;0;2;1;1;0;0;57yJsTSIwFtVEkxvEA7RWtkKCWPfyQbb2g-Fvo6C;2026-02-26 00:17:50;"[""N01"",""Q01"",""N04""]";1;age-4;dv-7;vbg;;;1;1;;;61 - 80;Vorarlberg;AT;Vorarlberg;3;3;2;3;2;4;2;3;5;5;4;3;3
5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;1;N04;2025-11-28 18:55:58;2;n04_vorarlbb_m_v2.mp3;reliable-5;kompetent-5;credible-3;sympatic-3;dialect-3;pleasant-3;natural-3;liked-2;aigen-6;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;2025-11-28 18:53:32;"[""N04"",""Q01"",""N01""]";1;age-2;dv-7;cho;;1;;1;;;21 - 40;Ostschweiz;CH;Vorarlberg;4;4;2;2;2;2;2;1;5;6;6;6;6
5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;2;Q01;2025-11-28 18:56:38;1;q01_kartoffel_m.mp3;reliable-2;kompetent-1;credible-2;sympatic-1;dialect-1;pleasant-1;natural-1;liked-1;aigen-7;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;2025-11-28 18:53:32;"[""N04"",""Q01"",""N01""]";1;age-2;dv-7;cho;;1;;;;1;21 - 40;Ostschweiz;CH;Hochdeutsch;1;0;1;0;0;0;0;0;6;6;6;6;6
5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;3;N01;2025-11-28 18:57:25;2;n01_sttall_m.mp3;reliable-6;kompetent-6;credible-6;sympatic-6;dialect-5;pleasant-6;natural-6;liked-6;aigen-6;easyunterrstand-7;uncomplicated-7;informed-7;attention-6;1;1;1;1;3;1;1;1;1;1;1;1;1;5AsspfF3h_Tg8JFOlSamgY1t8qCJ3BbReLhqQoJz;2025-11-28 18:53:32;"[""N04"",""Q01"",""N01""]";1;age-2;dv-7;cho;;1;;;1;;21 - 40;Ostschweiz;CH;Schweiz;5;5;5;5;4;5;5;5;5;6;6;6;5
6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;1;Q01;2026-02-19 03:30:24;1;q01_vorarlbb_f_v2.mp3;reliable-7;kompetent-7;credible-7;sympatic-4;dialect-7;pleasant-4;natural-6;liked-5;aigen-3;easyunterrstand-6;uncomplicated-6;informed-6;attention-6;1;1;1;0;2;0;1;1;1;1;1;1;1;6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;2026-02-19 03:28:12;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;null;;;1;1;;;41 - 60;Ich m�chte nicht antworten.;null;Vorarlberg;6;6;6;3;6;3;5;4;2;5;5;5;5
6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;2;N01;2026-02-19 03:32:13;1;n01_kartoffel_f.mp3;reliable-6;kompetent-6;credible-6;sympatic-5;dialect-6;pleasant-6;natural-5;liked-5;aigen-6;easyunterrstand-6;uncomplicated-6;informed-6;attention-7;3;2;2;1;1;1;2;1;1;1;1;1;1;6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;2026-02-19 03:28:12;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;null;;;1;;;1;41 - 60;Ich m�chte nicht antworten.;null;Hochdeutsch;5;5;5;4;5;5;4;4;5;5;5;5;6
6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;3;N04;2026-02-19 03:33:40;1;n04_sttall_m_v2.mp3;reliable-6;kompetent-6;credible-6;sympatic-4;dialect-4;pleasant-4;natural-5;liked-3;aigen-4;easyunterrstand-6;uncomplicated-6;informed-6;attention-7;1;1;1;0;0;0;1;1;0;1;1;1;1;6P9KUr06lZXgrL3xMd40ptv2k9iwBJ4dnBZyCW0t;2026-02-19 03:28:12;"[""Q01"",""N01"",""N04""]";1;age-3;dv-7;null;;1;;;1;;41 - 60;Ich m�chte nicht antworten.;null;Schweiz;5;5;5;3;3;3;4;2;3;5;5;5;6
6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;1;Q01;2026-02-22 21:46:08;1;q01_sttall_m.mp3;reliable-2;kompetent-2;credible-5;sympatic-3;dialect-1;pleasant-3;natural-3;liked-3;aigen-7;easyunterrstand-6;uncomplicated-6;informed-6;attention-6;1;1;1;1;1;1;1;1;1;1;1;1;1;6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;2026-02-22 21:44:37;"[""Q01"",""N01"",""N04""]";1;age-4;dv-7;cho;;1;;;1;;61 - 80;Ostschweiz;CH;Schweiz;1;1;4;2;0;2;2;2;6;5;5;5;5
6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;2;N01;2026-02-22 23:44:25;2;n01_kartoffel_m.mp3;reliable-5;kompetent-5;credible-5;sympatic-2;dialect-7;pleasant-2;natural-3;liked-4;aigen-7;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;0;1;1;1;1;1;6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;2026-02-22 21:44:37;"[""Q01"",""N01"",""N04""]";1;age-4;dv-7;cho;;1;;;;1;61 - 80;Ostschweiz;CH;Hochdeutsch;4;4;4;1;6;1;2;3;6;6;6;6;6
6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;3;N04;2026-02-22 23:45:23;1;n04_sttall_f_v2.mp3;reliable-2;kompetent-2;credible-2;sympatic-3;dialect-1;pleasant-3;natural-1;liked-3;aigen-7;easyunterrstand-6;uncomplicated-6;informed-6;attention-5;1;1;1;1;1;1;1;1;1;1;1;1;1;6qa16_Mf6_GfDSylqBAnc3SeYyHkPvDyLEgj5tvd;2026-02-22 21:44:37;"[""Q01"",""N01"",""N04""]";1;age-4;dv-7;cho;;;1;;1;;61 - 80;Ostschweiz;CH;Schweiz;1;1;1;2;0;2;0;2;6;5;5;5;4
7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;1;Q01;2025-12-12 21:35:20;2;q01_sttall_m.mp3;reliable-4;kompetent-4;credible-4;sympatic-6;dialect-3;pleasant-4;natural-3;liked-4;aigen-5;easyunterrstand-2;uncomplicated-5;informed-3;attention-2;0;0;0;2;2;0;1;0;1;1;1;1;1;7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;2025-12-12 21:32:40;"[""Q01"",""N01"",""N04""]";1;age-2;dv-7;li;;1;;;1;;21 - 40;Liechtenstein;LI;Schweiz;3;3;3;5;2;3;2;3;4;1;4;2;1
7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;2;N01;2025-12-12 21:36:44;1;n01_kartoffel_m.mp3;reliable-4;kompetent-4;credible-4;sympatic-4;dialect-2;pleasant-5;natural-3;liked-4;aigen-6;easyunterrstand-6;uncomplicated-6;informed-6;attention-4;0;0;0;0;1;1;1;0;1;1;1;2;0;7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;2025-12-12 21:32:40;"[""Q01"",""N01"",""N04""]";1;age-2;dv-7;li;;1;;;;1;21 - 40;Liechtenstein;LI;Hochdeutsch;3;3;3;3;1;4;2;3;5;5;5;5;3
7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;3;N04;2025-12-12 21:37:51;1;n04_vorarlbb_m_v2.mp3;reliable-4;kompetent-4;credible-4;sympatic-5;dialect-5;pleasant-5;natural-5;liked-4;aigen-5;easyunterrstand-6;uncomplicated-6;informed-6;attention-4;0;0;0;1;1;3;1;0;1;1;1;1;0;7F-qXyZkjTbUfqR7VAa4f05TffCI8fSnsg_qNSYj;2025-12-12 21:32:40;"[""Q01"",""N01"",""N04""]";1;age-2;dv-7;li;;1;;1;;;21 - 40;Liechtenstein;LI;Vorarlberg;3;3;3;4;4;4;4;3;4;5;5;5;3
93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;1;N04;2025-11-28 19:42:20;1;n04_sttall_m_v2.mp3;reliable-2;kompetent-2;credible-3;sympatic-2;dialect-2;pleasant-2;natural-2;liked-1;aigen-7;easyunterrstand-6;uncomplicated-3;informed-7;attention-7;1;3;2;1;1;2;1;1;1;1;2;1;1;93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;2025-11-28 19:39:11;"[""N04"",""N01"",""Q01""]";1;age-3;dv-7;vbg;;1;;;1;;41 - 60;Vorarlberg;AT;Schweiz;1;1;2;1;1;1;1;0;6;5;2;6;6
93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;2;N01;2025-11-28 19:42:25;0;n01_kartoffel_f.mp3;reliable-4;kompetent-4;credible-4;sympatic-4;dialect-4;pleasant-4;natural-4;liked-4;aigen-4;easyunterrstand-4;uncomplicated-4;informed-4;attention-4;0;0;0;0;0;0;0;0;0;0;0;0;0;93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;2025-11-28 19:39:11;"[""N04"",""N01"",""Q01""]";1;age-3;dv-7;vbg;;;1;;;1;41 - 60;Vorarlberg;AT;Hochdeutsch;3;3;3;3;3;3;3;3;3;3;3;3;3
93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;3;Q01;2025-11-28 19:42:40;0;q01_sttall_m.mp3;reliable-4;kompetent-4;credible-4;sympatic-4;dialect-4;pleasant-4;natural-4;liked-4;aigen-4;easyunterrstand-4;uncomplicated-4;informed-4;attention-4;0;0;0;0;0;0;0;0;0;0;0;0;0;93lo1IXxxyRhKWf5TQ4HAi87bBuvE0dwMtj6ju-y;2025-11-28 19:39:11;"[""N04"",""N01"",""Q01""]";1;age-3;dv-7;vbg;;1;;;1;;41 - 60;Vorarlberg;AT;Schweiz;3;3;3;3;3;3;3;3;3;3;3;3;3
9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;1;N04;2025-11-28 18:53:08;1;n04_vorarlbb_f_v3.mp3;reliable-5;kompetent-5;credible-5;sympatic-5;dialect-3;pleasant-5;natural-4;liked-5;aigen-6;easyunterrstand-6;uncomplicated-5;informed-6;attention-5;1;1;1;1;1;1;0;1;1;1;1;1;1;9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;2025-11-28 18:50:30;"[""N04"",""N01"",""Q01""]";1;age-4;dv-7;ch;;;1;1;;;61 - 80;Restliche Schweiz;CH;Vorarlberg;4;4;4;4;2;4;3;4;5;5;4;5;4
9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;2;N01;2025-11-28 18:54:38;1;n01_vorarlbb_f_v2.mp3;reliable-5;kompetent-5;credible-5;sympatic-4;dialect-6;pleasant-5;natural-5;liked-5;aigen-3;easyunterrstand-5;uncomplicated-5;informed-5;attention-6;1;1;1;0;2;1;1;1;1;1;1;1;1;9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;2025-11-28 18:50:30;"[""N04"",""N01"",""Q01""]";1;age-4;dv-7;ch;;;1;1;;;61 - 80;Restliche Schweiz;CH;Vorarlberg;4;4;4;3;5;4;4;4;2;4;4;4;5
9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;3;Q01;2025-11-28 18:55:53;1;q01_sttall_f.mp3;reliable-5;kompetent-5;credible-5;sympatic-6;dialect-3;pleasant-5;natural-5;liked-6;aigen-3;easyunterrstand-5;uncomplicated-6;informed-5;attention-3;1;1;1;1;1;1;1;1;1;1;1;1;1;9lzpj3eSaRiwtal69mdD8pCzhmhmRClEv-ZmIGxE;2025-11-28 18:50:30;"[""N04"",""N01"",""Q01""]";1;age-4;dv-7;ch;;;1;;1;;61 - 80;Restliche Schweiz;CH;Schweiz;4;4;4;5;2;4;4;5;2;4;5;4;2
9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;1;N01;2026-02-17 18:26:18;1;n01_vorarlbb_f_v2.mp3;reliable-7;kompetent-7;credible-7;sympatic-7;dialect-7;pleasant-7;natural-7;liked-7;aigen-3;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;1;1;1;1;1;1;9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;2026-02-17 18:25:03;"[""N01"",""Q01"",""N04""]";1;age-2;dv-7;cho;;;1;1;;;21 - 40;Ostschweiz;CH;Vorarlberg;6;6;6;6;6;6;6;6;2;6;6;6;6
9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;2;Q01;2026-02-17 18:27:21;1;q01_sttall_f.mp3;reliable-7;kompetent-6;credible-6;sympatic-7;dialect-2;pleasant-7;natural-4;liked-6;aigen-2;easyunterrstand-7;uncomplicated-7;informed-6;attention-7;1;1;1;1;2;1;0;1;1;1;1;2;1;9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;2026-02-17 18:25:03;"[""N01"",""Q01"",""N04""]";1;age-2;dv-7;cho;;;1;;1;;21 - 40;Ostschweiz;CH;Schweiz;6;5;5;6;1;6;3;5;1;6;6;5;6
9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;3;N04;2026-02-17 18:28:07;1;n04_kartoffel_m.mp3;reliable-5;kompetent-6;credible-5;sympatic-7;dialect-3;pleasant-6;natural-2;liked-5;aigen-2;easyunterrstand-7;uncomplicated-7;informed-7;attention-7;1;1;1;1;1;1;1;1;2;1;1;1;1;9nm_jBDMZiDF8UKjVwszgOaQcxmky7ocUiZ50Hyp;2026-02-17 18:25:03;"[""N01"",""Q01"",""N04""]";1;age-2;dv-7;cho;;1;;;;1;21 - 40;Ostschweiz;CH;Hochdeutsch;4;5;4;6;2;5;1;4;1;6;6;6;6
9o3UxnWz47VubMe8rQqhZ75BZC9bJ06gTHL2Zed4;1;N01;2026-02-04 10:47:02;1;n01_kartoffel_f.mp3;reliable-3;kompetent-3;credible-3;sympatic-2;dialect-2;pleasant-2;natural-1;liked-1;aigen-1;easyunterrstand-6;uncomplicated-7;informed-6;attention-4;1;1;1;1;1;1;1;1;1;2;1;1;0;9o3UxnWz47VubMe8rQqhZ75BZC9bJ06gTHL2Zed4;2026-02-04 10:45:41;"[""N01"",""N04"",""Q01""]";1;age-3;dv-6;cho;;;1;;;1;41 - 60;Ostschweiz;CH;Hochdeutsch;2;2;2;1;1;1;0;0;0;5;6;5;3
